ModelNo,Vair.d,Vair.i,tau,CdAM,CdAM.g,body.density,body.density.g
1,,1,,1,,,
2,,1,,,,1,
3,,1,,1,,1,
4,1,1,,1,,,
5,1,1,,,,1,
6,1,1,,1,,1,
7,,,,1,,,
8,,,,,,1,
9,,,,1,,1,
10,1,1,,,,,
11,,,,,,,
12,,1,,,,,
